Category,Benchmark,Expected,Result,Remark
bsl_sat,dispose-iter-2.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
bsl_sat,test-dispose-1.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
bsl_sat,test-dispose-iter-1.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,dispose-1.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,dispose-2.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,dispose-3.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,dispose-4.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,dispose-8.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,dispose-iter-1.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,dispose-iter-4.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,dispose-iter-8.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
